"IDPIF","zIndex","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2005362821","271","1573.0000","2237.63591982052","0","0","3","GALICIA","36","PONTEVEDRA","VIGO-BAIXO MIÑO","FORNELOS DE MONTES","42.33325700","-8.47277500","2005-08-19","1690","1720","0","5","CAUSA DESCONOCIDA","89","9","2","65240","3016913"
"2006361563","272","1558.0900","2227.00572644998","0","0","3","GALICIA","36","PONTEVEDRA","CALDAS-O SALNES","PONTEVEDRA","42.37337700","-8.59149400","2006-08-06","5785","6205","1","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","135","4","4","44415","7595415"
"2005323023","273","1550.6000","2221.64648294139","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","CUALEDRO","42.35799300","-7.36536300","2005-08-19","3665","3965","1","4","Vandalismo","68","8","11","0","0"
"2005323029","274","1550.0000","2221.21661164524","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","VERÍN","42.35799300","-7.36536300","2005-08-19","1500","1560","1","4","Vandalismo","34","7","2","0","0"
"2006362027","275","1544.9000","2217.55934117971","0","0","3","GALICIA","36","PONTEVEDRA","CALDAS-O SALNES","CAMPO LAMEIRO","42.52896400","-8.47843800","2006-08-06","960","2100","0","6","INCENDIO REPRODUCIDO","31","6","1","10500","6494747"
"2003250105","276","1539.9900","2214.03261408719","1","3","2","CATALUÑA","25","LLEIDA","EL SEGRIA","SERÒS","41.41717000","0.42440800","2003-08-12","1010","2470","0","3","LÍNEAS ELÉCTRICAS","257","55","10","0","0"
"2006361752","277","1513.0000","2194.54518704007","0","0","3","GALICIA","36","PONTEVEDRA","VIGO-BAIXO MIÑO","BAIONA","42.07594700","-8.82169800","2006-08-09","2820","9540","1","4","Otras motivaciones","111","16","7","81696","3168979"
"2003060363","278","1483.0000","2172.67936247059","0","0","14","EXTREMADURA","6","BADAJOZ","TENTUDIA","JEREZ DE LOS CABALLEROS","38.22920200","-6.72220200","2003-08-01","1990","5980","0","1","RAYO","206","17","2","0","0"
"2006385002","279","1466.7000","2160.70615787007","0","0","12","CANARIAS","38","S.C. TENERIFE","EL HIERRO","VALVERDE","27.70718000","-18.02382200","2006-09-10","4915","17635","0","2","FUMADORES","364","14","12","0","0"
"2001490406","280","1460.0000","2155.76537180727","0","0","17","CASTILLA Y LEON","49","ZAMORA","EL PUENTE","PORTO","42.15981700","-6.84483500","2001-12-16","3000","3900","1","4","Provocados por cazadores para facilitar la caza","33","0","1","0","0"
"2001370085","281","1450.0000","2148.36992849578","0","0","17","CASTILLA Y LEON","37","SALAMANCA","VITIGUDINO","BARRUECOPARDO","41.06989200","-6.66190200","2001-08-07","1680","3270","1","4","Sin datos","364","22","5","0","423419"
"2009250089","282","1443.0000","2143.17793419774","0","0","2","CATALUÑA","25","LLEIDA","L URGELL","AGRAMUNT","41.83789600","1.09147900","2009-07-17","1712","6755","0","3","LÍNEAS ELÉCTRICAS","315","50","10","0","0"
"2007440075","283","1436.1700","2138.09987895929","1","0","10","ARAGON","44","TERUEL","CUENCAS MINERAS","TORRE DE LAS ARCAS","40.86434600","-0.74309500","2007-08-01","1670","3170","0","5","CAUSA DESCONOCIDA","204","20","8","181085","4927739"
"2006220104","284","1435.6100","2137.68298796691","0","0","10","ARAGON","22","HUESCA","LA LITERA/LA LLITERA","PERALTA DE CALASANZ","42.00512200","0.37916400","2006-08-12","2946","4780","0","2","OTRAS NEGLIGENCIAS (ACTIVIDADES APÍCOLAS)","266","70","12","0","20806492"
"2003130103","285","1431.7800","2134.82956893572","0","0","11","CASTILLA-MANCHA","13","CIUDAD REAL","MONTES SUR","SACERUELA","38.96352500","-4.60247300","2003-08-02","1705","2965","1","4","Sin datos","84","16","4","66000","1737425"
"2006321210","286","1428.0000","2132.00965633473","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","A GUDIÑA","42.03576600","-7.18097000","2006-08-12","1670","3866","1","4","Provocados por pirómanos","71","16","7","0","4459322"
"2002490316","287","1418.2300","2124.70381437611","0","0","17","CASTILLA Y LEON","49","ZAMORA","ALCAÑICES","PORTUGAL","41.82222900","-6.54394300","2002-08-16","1080","3780","1","4","Sin datos","153","21","22","0","1010768"
"2006100036","288","1407.3900","2116.56833274101","0","0","14","EXTREMADURA","10","CACERES","CACERES-CENTRO","CAÑAVERAL","39.80004000","-6.38269500","2006-07-12","103","1205","0","3","MOTORES Y MÁQUINAS (SIN ESPECIFICAR)","175","48","14","0","0"
"2005130129","289","1373.0000","2090.54890813476","0","0","11","CASTILLA-MANCHA","13","CIUDAD REAL","PASTOS","PUERTOLLANO","38.68383200","-4.07868800","2005-07-16","1426","4696","1","4","Provocados por pirómanos","103","18","6","174901","2033002"
"2006151817","290","1360.0000","2080.62837914404","0","0","3","GALICIA","15","A CORUÑA","FISTERRA","MAZARICOS","42.94312400","-9.05025500","2006-08-08","3255","3585","1","4","Otras motivaciones","14","14","0","0","255612"
"2009500169","291","1283.0700","2020.92519818482","0","0","10","ARAGON","50","ZARAGOZA","ZARAGOZA","JAULÍN","41.43829000","-0.94517200","2009-07-29","2550","13430","0","2","FUMADORES","332","21","21","0","0"
"2004140025","292","1282.0000","2020.08235992402","0","0","4","ANDALUCIA","14","CORDOBA","VALLE DEL GUADIATO","OBEJO","38.07564600","-4.75963200","2004-06-24","6630","6660","0","3","MANIOBRAS MILITARES","119","8","9","0","265672"
"2005370293","293","1280.3500","2018.78196637333","0","0","17","CASTILLA Y LEON","37","SALAMANCA","LA ALBERCA","CILLEROS DE LA BASTIDA","40.52886800","-5.98566000","2005-06-18","361","7320","0","1","RAYO","430","22","9","0","2022571"
"2003080280","294","1263.7800","2005.67611533206","0","0","2","CATALUÑA","8","BARCELONA","VALLS OCCIDENTAL","GALLIFA","41.68959200","2.10477500","2003-08-11","7570","25400","0","5","CAUSA DESCONOCIDA","296","34","9","0","0"
"2006130076","295","1252.0000","1996.30653333126","0","0","11","CASTILLA-MANCHA","13","CIUDAD REAL","CAMPO DE CALATRAVA","CALZADA DE CALATRAVA","38.66809100","-3.82226100","2006-08-12","995","1895","1","4","Provocados contra el acotamiento de la caza","140","20","9","105823","266764"
"2005080231","296","1216.7000","1967.96249588202","0","4","2","CATALUÑA","8","BARCELONA","BAGES","CARDONA","41.89624800","1.71995800","2005-07-08","1715","3230","0","2","FUMADORES","1401","125","26","0","0"
"2005152066","297","1200.0000","1954.41004761168","0","0","3","GALICIA","15","A CORUÑA","FISTERRA","CARNOTA","42.88979300","-9.12390100","2005-08-21","4915","5685","1","4","Otras motivaciones","280","22","19","0","0"
"2003100793","298","1200.0000","1954.41004761168","0","0","14","EXTREMADURA","10","CACERES","SIERRA DE SAN PEDRO","OTRA PROVINCIA","39.39376900","-7.14015900","2003-08-01","870","990","0","1","RAYO","120","7","8","0","2285"
